inf,-nan,-nan,-nan
0.656652,0.047210,0.047210,0.253219
0.658120,0.047009,0.047009,0.252137
0.659574,0.046809,0.046809,0.251064
0.661017,0.046610,0.046610,0.250000
0.662447,0.046414,0.046414,0.248945
0.663866,0.046218,0.046218,0.247899
0.665272,0.046025,0.046025,0.246862
0.666667,0.045833,0.045833,0.245833
0.668050,0.045643,0.045643,0.244813
0.669421,0.045455,0.045455,0.243802
0.670782,0.045267,0.045267,0.242798
0.672131,0.045082,0.045082,0.241803
0.669388,0.048980,0.044898,0.240816
0.666667,0.048780,0.044715,0.243902
0.663968,0.048583,0.044534,0.246964
0.661290,0.048387,0.044355,0.250000
0.658635,0.048193,0.044177,0.253012
0.656000,0.048000,0.044000,0.256000
0.653386,0.047809,0.043825,0.258964
0.650794,0.047619,0.043651,0.261905
0.648221,0.047431,0.043478,0.264822
0.645669,0.047244,0.047244,0.263780
0.647059,0.047059,0.047059,0.262745
0.644531,0.050781,0.046875,0.261719
0.642023,0.050584,0.050584,0.260700
0.643411,0.050388,0.050388,0.259690
0.640927,0.054054,0.050193,0.258687
0.638462,0.053846,0.050000,0.261538
0.636015,0.053640,0.049808,0.264368
0.633588,0.053435,0.049618,0.267176
0.631179,0.053232,0.049430,0.269962
0.628788,0.053030,0.049242,0.272727
0.626415,0.052830,0.049057,0.275472
0.624060,0.052632,0.048872,0.278196
0.621723,0.052434,0.048689,0.280899
0.619403,0.052239,0.048507,0.283582
0.617100,0.052045,0.048327,0.286245
0.614815,0.051852,0.048148,0.288889
0.612546,0.051661,0.047970,0.291513
0.610294,0.051471,0.047794,0.294118
0.608059,0.051282,0.047619,0.296703
0.605839,0.051095,0.047445,0.299270
0.603636,0.050909,0.047273,0.301818
0.601449,0.050725,0.047101,0.304348
0.599278,0.050542,0.046931,0.306859
0.597122,0.050360,0.046763,0.309353
0.594982,0.050179,0.046595,0.311828
0.592857,0.050000,0.046429,0.314286
0.590747,0.049822,0.046263,0.316726
0.588652,0.049645,0.049645,0.315603
0.590106,0.049470,0.049470,0.314488
0.591549,0.049296,0.049296,0.313380
0.592982,0.049123,0.049123,0.312281
0.594406,0.048951,0.048951,0.311189
0.595819,0.048780,0.048780,0.310105
0.593750,0.052083,0.048611,0.309028
0.591695,0.051903,0.048443,0.311419
0.589655,0.051724,0.048276,0.313793
0.587629,0.051546,0.048110,0.316151
0.585616,0.051370,0.047945,0.318493
0.583618,0.051195,0.047782,0.320819
0.581633,0.051020,0.047619,0.323129
0.579661,0.050847,0.047458,0.325424
0.577703,0.050676,0.047297,0.327703
0.575758,0.050505,0.050505,0.326599
0.577181,0.050336,0.050336,0.325503
0.578595,0.050167,0.050167,0.324415
0.580000,0.050000,0.050000,0.323333
0.581395,0.049834,0.049834,0.322259
0.582781,0.049669,0.049669,0.321192
0.580858,0.052805,0.049505,0.320132
0.578947,0.052632,0.049342,0.322368
0.577049,0.052459,0.052459,0.321311
0.578431,0.052288,0.052288,0.320261
0.579805,0.052117,0.052117,0.319218
0.581169,0.051948,0.051948,0.318182
0.582524,0.051780,0.051780,0.317152
0.583871,0.051613,0.051613,0.316129
0.585209,0.051447,0.051447,0.315113
0.586538,0.051282,0.051282,0.314103
0.587859,0.051118,0.051118,0.313099
0.585987,0.054140,0.050955,0.312102
0.584127,0.053968,0.050794,0.314286
0.582278,0.053797,0.053797,0.313291
0.583596,0.053628,0.053628,0.312303
0.584906,0.053459,0.053459,0.311321
0.586207,0.053292,0.053292,0.310345
0.587500,0.053125,0.053125,0.309375
0.585670,0.056075,0.052960,0.308411
0.583851,0.055901,0.052795,0.310559
0.582043,0.055728,0.052632,0.312694
0.580247,0.055556,0.055556,0.311728
0.581538,0.055385,0.055385,0.310769
0.579755,0.058282,0.055215,0.309816
0.577982,0.058104,0.055046,0.311927
0.576219,0.057927,0.054878,0.314024
0.574468,0.057751,0.054711,0.316109
0.572727,0.057576,0.054545,0.318182
0.570997,0.057402,0.054381,0.320242
0.569277,0.057229,0.054217,0.322289
0.567568,0.057057,0.054054,0.324324
0.565868,0.056886,0.053892,0.326347
0.564179,0.056716,0.053731,0.328358
0.562500,0.056548,0.053571,0.330357
0.560831,0.056380,0.056380,0.329377
0.562130,0.056213,0.056213,0.328402
0.563422,0.056047,0.056047,0.327434
0.564706,0.055882,0.055882,0.326471
0.565982,0.055718,0.055718,0.325513
0.567251,0.055556,0.055556,0.324561
0.568513,0.055394,0.055394,0.323615
0.569767,0.055233,0.055233,0.322674
0.571014,0.055072,0.055072,0.321739
0.572254,0.054913,0.054913,0.320809
0.573487,0.054755,0.054755,0.319885
0.571839,0.057471,0.054598,0.318966
0.570201,0.057307,0.054441,0.320917
0.568571,0.057143,0.057143,0.320000
0.569801,0.056980,0.056980,0.319088
0.571023,0.056818,0.056818,0.318182
0.572238,0.056657,0.056657,0.317280
0.573446,0.056497,0.056497,0.316384
0.574648,0.056338,0.056338,0.315493
0.575843,0.056180,0.056180,0.314607
0.577031,0.056022,0.056022,0.313726
0.578212,0.055866,0.055866,0.312849
0.576602,0.058496,0.055710,0.311978
0.575000,0.058333,0.058333,0.311111
0.576177,0.058172,0.058172,0.310249
0.577348,0.058011,0.058011,0.309392
0.578512,0.057851,0.057851,0.308540
0.576923,0.060440,0.057692,0.307692
0.575342,0.060274,0.057534,0.309589
0.573770,0.060109,0.060109,0.308743
0.574932,0.059946,0.059946,0.307902
0.576087,0.059783,0.059783,0.307065
0.577236,0.059621,0.059621,0.306233
0.578378,0.059459,0.059459,0.305405
0.579515,0.059299,0.059299,0.304582
0.580645,0.059140,0.059140,0.303763
0.581769,0.058981,0.058981,0.302949
0.582888,0.058824,0.058824,0.302139
0.584000,0.058667,0.058667,0.301333
0.585106,0.058511,0.058511,0.300532
0.586207,0.058355,0.058355,0.299735
0.587302,0.058201,0.058201,0.298942
0.588391,0.058047,0.058047,0.298153
0.589474,0.057895,0.057895,0.297368
0.590551,0.057743,0.057743,0.296588
0.591623,0.057592,0.057592,0.295812
0.592689,0.057441,0.057441,0.295039
0.593750,0.057292,0.057292,0.294271
0.594805,0.057143,0.057143,0.293507
0.595855,0.056995,0.056995,0.292746
0.596899,0.056848,0.056848,0.291990
0.595361,0.059278,0.056701,0.291237
0.593830,0.059126,0.059126,0.290488
0.594872,0.058974,0.058974,0.289744
0.595908,0.058824,0.058824,0.289003
0.596939,0.058673,0.058673,0.288265
0.597964,0.058524,0.058524,0.287532
0.598985,0.058376,0.058376,0.286802
0.600000,0.058228,0.058228,0.286076
0.601010,0.058081,0.058081,0.285354
0.602015,0.057935,0.057935,0.284635
0.603015,0.057789,0.057789,0.283920
0.604010,0.057644,0.057644,0.283208
0.605000,0.057500,0.057500,0.282500
0.605985,0.057357,0.057357,0.281796
0.606965,0.057214,0.057214,0.281095
0.607940,0.057072,0.057072,0.280397
0.608911,0.056931,0.056931,0.279703
0.609877,0.056790,0.056790,0.279012
0.610837,0.056650,0.056650,0.278325
0.611794,0.056511,0.056511,0.277641
0.612745,0.056373,0.056373,0.276961
0.611247,0.058680,0.056235,0.276284
0.609756,0.058537,0.058537,0.275610
0.610706,0.058394,0.058394,0.274939
0.611650,0.058252,0.058252,0.274272
0.612591,0.058111,0.058111,0.273608
0.613527,0.057971,0.057971,0.272947
0.614458,0.057831,0.057831,0.272289
0.615385,0.057692,0.057692,0.271635
0.616307,0.057554,0.057554,0.270983
0.617225,0.057416,0.057416,0.270335
0.618138,0.057279,0.057279,0.269690
0.619048,0.057143,0.057143,0.269048
0.619952,0.057007,0.057007,0.268409
0.618483,0.059242,0.056872,0.267773
0.617021,0.059102,0.056738,0.269504
0.615566,0.058962,0.056604,0.271226
0.614118,0.058824,0.058824,0.270588
0.615023,0.058685,0.058685,0.269953
0.615925,0.058548,0.058548,0.269321
0.614486,0.060748,0.058411,0.268692
0.613054,0.060606,0.058275,0.270396
0.611628,0.060465,0.058140,0.272093
0.610209,0.060325,0.058005,0.273782
0.608796,0.060185,0.057870,0.275463
0.607390,0.060046,0.060046,0.274827
0.608295,0.059908,0.059908,0.274194
0.609195,0.059770,0.059770,0.273563
0.610092,0.059633,0.059633,0.272936
0.610984,0.059497,0.059497,0.272311
0.609589,0.061644,0.059361,0.271690
0.608200,0.061503,0.061503,0.271071
0.609091,0.061364,0.061364,0.270455
0.609977,0.061224,0.061224,0.269841
0.610860,0.061086,0.061086,0.269231
0.611738,0.060948,0.060948,0.268623
0.610360,0.063063,0.060811,0.268018
0.608989,0.062921,0.060674,0.269663
0.607623,0.062780,0.060538,0.271300
0.606264,0.062640,0.060403,0.272931
0.604911,0.062500,0.062500,0.272321
0.603563,0.064588,0.062361,0.271715
0.602222,0.064444,0.062222,0.273333
0.600887,0.064302,0.062084,0.274945
0.599558,0.064159,0.061947,0.276549
0.598234,0.064018,0.061810,0.278146
0.596916,0.063877,0.061674,0.279736
0.595604,0.063736,0.061538,0.281319
0.594298,0.063596,0.061404,0.282895
0.592998,0.063457,0.061269,0.284464
0.591703,0.063319,0.061135,0.286026
0.590414,0.063181,0.061002,0.287582
0.589130,0.063043,0.060870,0.289130
0.587852,0.062907,0.060738,0.290672
0.586580,0.062771,0.062771,0.290043
0.587473,0.062635,0.062635,0.289417
0.588362,0.062500,0.062500,0.288793
0.587097,0.064516,0.062366,0.288172
0.585837,0.064378,0.062232,0.289700
0.584582,0.064240,0.062098,0.291221
0.583333,0.064103,0.061966,0.292735
0.582090,0.063966,0.061834,0.294243
0.580851,0.063830,0.061702,0.295745
0.579618,0.063694,0.063694,0.295117
0.580508,0.063559,0.063559,0.294492
0.581395,0.063425,0.063425,0.293869
0.582278,0.063291,0.063291,0.293249
0.583158,0.063158,0.063158,0.292632
0.584034,0.063025,0.063025,0.292017
0.584906,0.062893,0.062893,0.291405
0.585774,0.062762,0.062762,0.290795
0.586639,0.062630,0.062630,0.290188
0.585417,0.064583,0.062500,0.289583
0.584200,0.064449,0.062370,0.291060
0.582988,0.064315,0.062241,0.292531
0.581781,0.064182,0.064182,0.291925
0.582645,0.064050,0.064050,0.291322
0.581443,0.065979,0.063918,0.290722
0.580247,0.065844,0.063786,0.292181
0.579055,0.065708,0.063655,0.293635
0.577869,0.065574,0.063525,0.295082
0.576687,0.065440,0.063395,0.296524
0.575510,0.065306,0.065306,0.295918
0.576375,0.065173,0.065173,0.295316
0.577236,0.065041,0.065041,0.294715
0.578093,0.064909,0.064909,0.294118
0.578947,0.064777,0.064777,0.293522
0.579798,0.064646,0.064646,0.292929
0.580645,0.064516,0.064516,0.292339
0.581489,0.064386,0.064386,0.291750
0.582329,0.064257,0.064257,0.291165
0.583166,0.064128,0.064128,0.290581
0.584000,0.064000,0.064000,0.290000
0.584830,0.063872,0.063872,0.289421
0.585657,0.063745,0.063745,0.288845
0.586481,0.063618,0.063618,0.288270
0.585317,0.065476,0.063492,0.287698
0.584158,0.065347,0.063366,0.289109
0.583004,0.065217,0.063241,0.290514
0.581854,0.065089,0.063116,0.291913
0.580709,0.064961,0.062992,0.293307
0.579568,0.064833,0.062868,0.294695
0.578431,0.064706,0.062745,0.296078
0.577299,0.064579,0.062622,0.297456
0.576172,0.064453,0.062500,0.298828
0.575049,0.064327,0.062378,0.300195
0.573930,0.064202,0.062257,0.301556
0.572816,0.064078,0.062136,0.302913
0.571705,0.063953,0.062016,0.304264
0.570600,0.063830,0.061896,0.305609
0.569498,0.063707,0.061776,0.306950
0.568401,0.063584,0.063584,0.306358
0.569231,0.063462,0.063462,0.305769
0.570058,0.063340,0.063340,0.305182
0.570881,0.063218,0.063218,0.304598
0.571702,0.063098,0.063098,0.304015
0.572519,0.062977,0.062977,0.303435
0.573333,0.062857,0.062857,0.302857
0.572243,0.064639,0.062738,0.302281
0.571158,0.064516,0.062619,0.303605
0.570076,0.064394,0.062500,0.304924
0.568998,0.064272,0.062382,0.306238
0.567924,0.064151,0.062264,0.307547
0.566855,0.064030,0.062147,0.308851
0.565789,0.063910,0.062030,0.310150
0.564728,0.063790,0.061914,0.311445
0.563670,0.063670,0.061798,0.312734
0.562617,0.063551,0.061682,0.314019
0.561567,0.063433,0.061567,0.315298
0.560521,0.063315,0.061453,0.316574
0.559480,0.063197,0.063197,0.315985
0.560297,0.063080,0.063080,0.315399
0.561111,0.062963,0.062963,0.314815
0.561922,0.062847,0.062847,0.314233
0.562731,0.062731,0.062731,0.313653
0.563536,0.062615,0.062615,0.313076
0.564338,0.062500,0.062500,0.312500
0.563303,0.064220,0.062385,0.311927
0.562271,0.064103,0.064103,0.311355
0.563071,0.063985,0.063985,0.310786
0.563869,0.063869,0.063869,0.310219
0.564663,0.063752,0.063752,0.309654
0.565455,0.063636,0.063636,0.309091
0.566243,0.063521,0.063521,0.308530
0.565217,0.065217,0.063406,0.307971
0.564195,0.065099,0.063291,0.309222
0.563177,0.064982,0.063177,0.310469
0.562162,0.064865,0.064865,0.309910
0.562950,0.064748,0.064748,0.309353
0.563734,0.064632,0.064632,0.308797
0.564516,0.064516,0.064516,0.308244
0.565295,0.064401,0.064401,0.307692
0.566071,0.064286,0.064286,0.307143
0.566845,0.064171,0.064171,0.306595
0.567616,0.064057,0.064057,0.306050
0.568384,0.063943,0.063943,0.305506
0.569149,0.063830,0.063830,0.304965
0.569911,0.063717,0.063717,0.304425
0.570671,0.063604,0.063604,0.303887
0.571429,0.063492,0.063492,0.303351
0.572183,0.063380,0.063380,0.302817
0.572935,0.063269,0.063269,0.302285
0.573684,0.063158,0.063158,0.301754
0.574431,0.063047,0.063047,0.301226
0.575175,0.062937,0.062937,0.300699
0.575916,0.062827,0.062827,0.300175
0.576655,0.062718,0.062718,0.299652
0.575652,0.064348,0.062609,0.299130
0.574653,0.064236,0.062500,0.300347
0.573657,0.064125,0.062392,0.301560
0.572664,0.064014,0.062284,0.302768
0.571675,0.063903,0.062176,0.303972
0.570690,0.063793,0.062069,0.305172
0.569707,0.063683,0.061962,0.306368
0.568729,0.063574,0.061856,0.307560
0.567753,0.063465,0.061750,0.308748
0.566781,0.063356,0.061644,0.309932
0.565812,0.063248,0.061538,0.311111
0.564846,0.063140,0.061433,0.312287
0.563884,0.063032,0.061329,0.313458
0.562925,0.062925,0.061224,0.314626
0.561969,0.062818,0.061121,0.315789
0.561017,0.062712,0.061017,0.316949
0.560068,0.062606,0.060914,0.318105
0.559122,0.062500,0.060811,0.319257
0.558179,0.062395,0.060708,0.320405
0.557239,0.062290,0.060606,0.321549
0.556303,0.062185,0.060504,0.322689
0.555369,0.062081,0.062081,0.322148
0.556114,0.061977,0.061977,0.321608
0.555184,0.063545,0.061873,0.321070
0.554257,0.063439,0.063439,0.320534
0.555000,0.063333,0.063333,0.320000
0.555740,0.063228,0.063228,0.319468
0.556478,0.063123,0.063123,0.318937
0.557214,0.063018,0.063018,0.318408
0.556291,0.064570,0.062914,0.317881
0.555372,0.064463,0.062810,0.319008
0.554455,0.064356,0.064356,0.318482
0.555189,0.064250,0.064250,0.317957
0.554276,0.065789,0.064145,0.317434
0.553366,0.065681,0.064039,0.318555
0.552459,0.065574,0.065574,0.318033
0.553191,0.065466,0.065466,0.317512
0.553922,0.065359,0.065359,0.316993
0.554649,0.065253,0.065253,0.316476
0.555375,0.065147,0.065147,0.315961
0.556098,0.065041,0.065041,0.315447
0.556818,0.064935,0.064935,0.314935
0.557536,0.064830,0.064830,0.314425
0.558252,0.064725,0.064725,0.313916
0.558966,0.064620,0.064620,0.313409
0.559677,0.064516,0.064516,0.312903
0.560386,0.064412,0.064412,0.312399
0.561093,0.064309,0.064309,0.311897
0.561798,0.064205,0.064205,0.311396
0.562500,0.064103,0.064103,0.310897
0.563200,0.064000,0.064000,0.310400
0.563898,0.063898,0.063898,0.309904
0.564593,0.063796,0.063796,0.309410
0.565287,0.063694,0.063694,0.308917
0.564388,0.065183,0.063593,0.308426
0.563492,0.065079,0.065079,0.307937
0.564184,0.064976,0.064976,0.307449
0.564873,0.064873,0.064873,0.306962
0.565561,0.064771,0.064771,0.306477
0.566246,0.064669,0.064669,0.305994
0.566929,0.064567,0.064567,0.305512
0.567610,0.064465,0.064465,0.305031
0.568289,0.064364,0.064364,0.304553
0.568965,0.064263,0.064263,0.304075
0.569640,0.064163,0.064163,0.303599
0.570312,0.064062,0.064062,0.303125
0.570983,0.063963,0.063963,0.302652
0.571651,0.063863,0.063863,0.302181
0.572317,0.063764,0.063764,0.301711
0.572981,0.063665,0.063665,0.301242
0.573643,0.063566,0.063566,0.300775
0.574303,0.063467,0.063467,0.300310
0.574961,0.063369,0.063369,0.299845
0.575617,0.063272,0.063272,0.299383
0.576271,0.063174,0.063174,0.298921
0.576923,0.063077,0.063077,0.298462
0.577573,0.062980,0.062980,0.298003
0.578221,0.062883,0.062883,0.297546
0.578867,0.062787,0.062787,0.297090
0.579511,0.062691,0.062691,0.296636
0.580153,0.062595,0.062595,0.296183
0.580793,0.062500,0.062500,0.295732
0.581431,0.062405,0.062405,0.295282
0.582067,0.062310,0.062310,0.294833
0.582701,0.062215,0.062215,0.294385
0.583333,0.062121,0.062121,0.293939
0.582451,0.063540,0.062027,0.293495
0.581571,0.063444,0.061934,0.294562
0.580694,0.063348,0.061840,0.295626
0.579819,0.063253,0.063253,0.295181
0.580451,0.063158,0.063158,0.294737
0.581081,0.063063,0.063063,0.294294
0.581709,0.062969,0.062969,0.293853
0.582335,0.062874,0.062874,0.293413
0.582960,0.062780,0.062780,0.292975
0.582090,0.064179,0.062687,0.292537
0.581222,0.064083,0.062593,0.293592
0.580357,0.063988,0.062500,0.294643
0.579495,0.063893,0.062407,0.295691
0.578635,0.063798,0.062315,0.296736
0.577778,0.063704,0.062222,0.297778
0.576923,0.063609,0.062130,0.298817
0.576071,0.063516,0.062038,0.299852
0.575221,0.063422,0.063422,0.299410
0.575847,0.063328,0.063328,0.298969
0.576471,0.063235,0.063235,0.298529
0.577093,0.063142,0.063142,0.298091
0.577713,0.063050,0.063050,0.297654
0.578331,0.062958,0.062958,0.297218
0.578947,0.062865,0.062865,0.296784
0.579562,0.062774,0.062774,0.296350
0.580175,0.062682,0.062682,0.295918
0.580786,0.062591,0.062591,0.295488
0.581395,0.062500,0.062500,0.295058
0.582003,0.062409,0.062409,0.294630
0.582609,0.062319,0.062319,0.294203
0.583213,0.062229,0.062229,0.293777
0.583815,0.062139,0.062139,0.293353
0.584416,0.062049,0.062049,0.292929
0.585014,0.061960,0.061960,0.292507
0.585612,0.061871,0.061871,0.292086
0.586207,0.061782,0.061782,0.291667
0.585366,0.063128,0.061693,0.291248
